student_id,subject,it1_score,it2_score,final_score,roll_avg_w4,roll_avg_w8,roll_avg_w12,assignment_avg,score_trend,weighted_score
STU0008,Machine Learning,34.0,45.5,6.0,35.9,33.1,0,32.8,0,22.9
STU0008,Deep Learning,96.3,74.2,18.4,80.9,77.2,0,76.9,0,51.8
STU0008,Python for AI,100.0,100.0,40.7,94.1,95.1,0,93.1,0,70.4
STU0008,Data Structures & Algorithms,88.4,100.0,53.3,96.5,98.4,0,97.4,0,73.7
STU0008,Statistics for AI,45.8,45.8,1.1,42.1,41.8,0,38.1,0,23.5
STU0009,Machine Learning,14.9,20.2,43.3,21.5,25.5,0,27.7,0,30.4
STU0009,Deep Learning,54.5,81.1,65.2,62.8,80.7,0,75.1,0,66.5
STU0009,Python for AI,49.6,50.2,37.0,48.3,52.6,0,51.2,0,43.4
STU0009,Data Structures & Algorithms,12.9,34.9,37.0,24.6,35.6,0,32.1,0,30.5
STU0009,Statistics for AI,5.9,7.1,51.9,17.8,31.4,0,27.8,0,29.2
STU0010,Machine Learning,78.0,82.0,88.0,50.8,56.3,0,53.7,0,84.0
STU0010,Deep Learning,65.0,70.0,75.0,67.8,64.4,0,66.3,0,71.2
STU0010,Python for AI,45.0,46.3,39.0,53.3,58.9,0,57.1,0,42.3
STU0010,Data Structures & Algorithms,89.6,95.2,95.5,100.0,100.0,0,100.0,0,93.9
STU0010,Statistics for AI,73.8,80.0,97.1,83.3,91.0,0,89.5,0,87.0
STU0011,Machine Learning,78.1,63.8,73.3,86.6,82.8,0,84.7,0,72.1
STU0011,Deep Learning,94.0,88.0,100.0,100.0,99.0,0,99.2,0,95.5
STU0011,Python for AI,95.0,97.0,99.0,96.4,94.2,0,95.0,0,97.5
STU0011,Data Structures & Algorithms,69.8,78.5,71.4,78.3,75.0,0,76.2,0,72.8
STU0011,Statistics for AI,61.9,51.5,42.0,63.4,60.6,0,60.2,0,49.4
STU0012,Machine Learning,16.4,27.4,9.0,23.7,30.6,0,28.1,0,15.4
STU0012,Deep Learning,11.9,42.4,39.3,32.8,25.3,0,30.4,0,33.2
STU0012,Python for AI,40.5,35.6,37.9,38.4,41.3,0,41.2,0,38.0
STU0012,Data Structures & Algorithms,22.1,14.5,27.3,32.3,35.2,0,31.8,0,22.8
STU0012,Statistics for AI,40.7,48.4,21.1,53.8,47.4,0,46.0,0,32.8
STU0013,Machine Learning,46.4,35.1,0.0,37.0,33.9,0,32.0,0,20.4
STU0013,Deep Learning,100.0,100.0,66.8,91.2,91.3,0,92.3,0,83.4
STU0013,Python for AI,64.0,74.2,58.6,91.0,82.2,0,85.4,0,63.8
STU0013,Data Structures & Algorithms,36.1,56.7,8.1,44.4,42.5,0,42.4,0,27.3
STU0013,Statistics for AI,81.3,91.6,31.9,87.4,83.1,0,85.2,0,59.2
STU0014,Machine Learning,42.6,29.1,8.3,40.9,35.7,0,35.2,0,22.1
STU0014,Deep Learning,58.4,73.4,42.2,58.2,62.4,0,60.5,0,54.1
STU0014,Python for AI,73.0,99.2,84.0,84.8,88.7,0,87.4,0,85.1
STU0014,Data Structures & Algorithms,53.1,41.5,38.7,58.7,55.7,0,57.2,0,43.0
STU0014,Statistics for AI,60.5,38.2,54.1,51.1,40.3,0,47.0,0,51.7
STU0015,Machine Learning,25.9,38.4,23.3,26.9,32.2,0,32.9,0,27.7
STU0015,Deep Learning,37.3,21.3,52.1,49.4,49.8,0,49.4,0,40.7
STU0015,Python for AI,54.7,24.5,21.9,43.2,32.9,0,36.6,0,30.7
STU0015,Data Structures & Algorithms,63.1,33.5,35.1,49.9,52.9,0,44.8,0,41.7
STU0015,Statistics for AI,49.1,48.2,37.7,53.4,51.6,0,50.3,0,43.2
STU0016,Machine Learning,61.2,43.6,56.7,79.0,70.1,0,69.1,0,54.5
STU0016,Deep Learning,44.1,30.1,28.6,41.5,28.9,0,36.5,0,32.8
STU0016,Python for AI,64.7,67.1,67.9,74.2,76.7,0,72.3,0,66.9
STU0016,Data Structures & Algorithms,62.9,70.0,49.1,83.1,74.2,0,77.9,0,57.8
STU0016,Statistics for AI,35.7,41.7,50.4,58.9,53.3,0,55.0,0,44.6
STU0017,Machine Learning,53.4,71.5,45.9,52.6,65.7,0,62.5,0,54.1
STU0017,Deep Learning,54.3,67.3,86.8,51.5,75.3,0,64.6,0,73.8
STU0017,Python for AI,67.7,79.4,68.4,81.0,84.8,0,85.6,0,71.0
STU0017,Data Structures & Algorithms,7.9,6.3,7.8,17.5,21.5,0,21.7,0,7.5
STU0017,Statistics for AI,41.9,76.9,49.6,46.9,62.2,0,57.6,0,54.5
STU0018,Machine Learning,76.2,54.7,67.9,61.2,58.6,0,63.2,0,66.7
STU0018,Deep Learning,23.9,41.7,27.0,29.0,31.0,0,30.4,0,29.9
STU0018,Python for AI,48.9,45.0,27.1,43.4,48.2,0,45.3,0,37.0
STU0018,Data Structures & Algorithms,43.5,33.7,29.8,54.1,47.5,0,50.9,0,34.2
STU0018,Statistics for AI,17.6,49.1,37.6,34.4,33.4,0,36.8,0,35.5
STU0019,Machine Learning,53.5,42.0,60.2,63.3,56.3,0,59.8,0,54.0
STU0019,Deep Learning,70.4,74.8,95.6,88.5,93.8,0,90.3,0,84.1
STU0019,Python for AI,91.5,86.3,79.7,98.0,100.0,0,97.7,0,84.3
STU0019,Data Structures & Algorithms,44.3,8.1,21.4,45.2,32.1,0,40.1,0,23.8
STU0019,Statistics for AI,27.5,48.7,36.5,48.0,43.9,0,45.3,0,37.3
STU0020,Machine Learning,33.6,59.2,36.4,56.0,49.1,0,50.1,0,41.4
STU0020,Deep Learning,33.7,42.0,51.7,53.7,55.9,0,55.7,0,44.8
STU0020,Python for AI,39.1,40.9,48.3,51.0,48.9,0,44.4,0,44.2
STU0020,Data Structures & Algorithms,38.3,37.5,41.7,44.8,49.4,0,44.7,0,39.8
STU0020,Statistics for AI,96.5,89.1,89.0,100.0,93.7,0,97.5,0,90.9
STU0021,Machine Learning,68.2,65.9,58.8,65.1,68.1,0,65.7,0,62.9
STU0021,Deep Learning,66.8,78.7,69.4,76.7,83.9,0,77.7,0,71.1
STU0021,Python for AI,65.7,47.8,53.7,48.9,46.2,0,49.6,0,55.2
STU0021,Data Structures & Algorithms,71.5,83.4,55.8,63.7,71.5,0,67.5,0,66.7
STU0021,Statistics for AI,60.7,57.8,54.4,63.0,60.3,0,58.6,0,56.8
STU0022,Machine Learning,45.6,73.0,100.0,77.7,84.8,0,80.3,0,79.6
STU0022,Deep Learning,0.0,16.1,53.4,32.5,36.3,0,35.0,0,30.7
STU0022,Python for AI,26.6,22.5,68.9,54.0,49.2,0,51.7,0,46.7
STU0022,Data Structures & Algorithms,63.4,47.8,85.5,78.3,75.6,0,76.0,0,70.6
STU0022,Statistics for AI,27.2,31.7,57.9,43.4,47.8,0,45.3,0,43.7
STU0023,Machine Learning,21.3,15.1,20.2,30.7,24.6,0,28.1,0,19.2
STU0023,Deep Learning,0.0,13.7,6.1,35.6,29.2,0,33.5,0,6.5
STU0023,Python for AI,66.5,41.0,55.7,70.9,73.3,0,72.9,0,54.7
STU0023,Data Structures & Algorithms,48.9,36.0,47.5,49.9,44.7,0,45.0,0,45.0
STU0023,Statistics for AI,58.3,39.0,76.6,68.6,68.6,0,71.6,0,62.6
STU0024,Machine Learning,27.2,35.3,9.5,21.3,29.4,0,27.2,0,20.4
STU0024,Deep Learning,56.6,62.9,70.1,56.6,59.4,0,59.4,0,64.9
STU0024,Python for AI,32.4,49.5,45.8,55.5,54.4,0,59.3,0,43.4
STU0024,Data Structures & Algorithms,19.3,45.3,41.2,22.4,39.5,0,34.0,0,36.7
STU0024,Statistics for AI,21.4,41.0,40.0,43.4,45.6,0,44.7,0,35.6
STU0025,Machine Learning,24.2,27.9,23.2,36.0,40.4,0,35.7,0,24.7
STU0025,Deep Learning,52.7,49.1,36.5,60.7,53.0,0,55.5,0,43.7
STU0025,Python for AI,16.6,27.1,17.0,45.4,40.3,0,39.4,0,19.4
STU0025,Data Structures & Algorithms,39.0,42.9,40.9,46.1,42.0,0,41.8,0,40.9
STU0025,Statistics for AI,44.6,20.0,27.0,46.7,36.0,0,40.9,0,29.6
STU0026,Machine Learning,80.6,86.4,80.2,91.0,86.9,0,88.0,0,81.8
STU0026,Deep Learning,69.8,71.7,35.0,81.2,83.1,0,79.6,0,52.9
STU0026,Python for AI,53.6,48.8,46.8,62.0,56.7,0,58.0,0,49.0
STU0026,Data Structures & Algorithms,96.6,91.5,74.6,92.6,94.7,0,92.3,0,84.4
STU0026,Statistics for AI,74.4,93.4,83.2,91.9,97.3,0,92.6,0,83.6
STU0027,Machine Learning,42.6,40.8,70.1,63.3,45.6,0,55.4,0,55.9
STU0027,Deep Learning,25.0,14.6,34.4,33.3,28.8,0,33.0,0,27.1
STU0027,Python for AI,21.7,2.4,58.5,40.6,33.3,0,38.9,0,35.3
STU0027,Data Structures & Algorithms,2.6,3.0,46.1,33.2,31.5,0,31.8,0,24.4
STU0027,Statistics for AI,30.7,46.2,67.8,63.0,72.9,0,66.4,0,53.1
STU0028,Machine Learning,51.3,46.3,67.0,63.2,61.7,0,65.4,0,57.9
STU0028,Deep Learning,64.8,81.3,75.6,70.8,66.8,0,72.1,0,74.3
STU0028,Python for AI,67.2,64.6,75.4,75.0,63.1,0,73.5,0,70.6
STU0028,Data Structures & Algorithms,30.9,36.0,39.9,47.4,47.1,0,50.4,0,36.7
STU0028,Statistics for AI,34.2,14.2,28.2,34.2,26.7,0,34.1,0,26.2
STU0029,Machine Learning,62.8,71.7,61.9,74.3,65.6,0,71.2,0,64.6
STU0029,Deep Learning,85.4,75.4,54.2,74.2,72.9,0,71.3,0,67.3
STU0029,Python for AI,54.4,65.1,80.4,69.3,71.6,0,70.1,0,70.1
STU0029,Data Structures & Algorithms,85.3,74.6,87.4,93.1,85.9,0,90.9,0,83.7
STU0029,Statistics for AI,35.2,28.6,27.6,33.8,33.4,0,31.2,0,29.7
STU0030,Machine Learning,45.6,56.6,43.6,62.4,62.6,0,64.7,0,47.3
STU0030,Deep Learning,29.4,74.5,59.7,51.0,69.5,0,62.2,0,55.8
STU0030,Python for AI,91.2,86.0,99.7,77.2,93.1,0,87.2,0,94.2
STU0030,Data Structures & Algorithms,44.6,53.8,52.4,47.9,54.9,0,53.8,0,50.8
STU0030,Statistics for AI,31.1,33.9,26.6,40.6,45.1,0,46.0,0,29.5
STU0031,Machine Learning,31.3,46.4,34.9,43.2,36.7,0,40.2,0,36.9
STU0031,Deep Learning,40.4,42.6,34.0,54.9,51.9,0,52.3,0,37.7
STU0031,Python for AI,53.6,39.0,17.3,46.9,49.7,0,46.2,0,31.8
STU0031,Data Structures & Algorithms,83.6,80.5,74.4,97.4,94.1,0,94.2,0,78.2
STU0031,Statistics for AI,14.6,19.1,27.1,30.0,34.2,0,31.4,0,22.0
STU0032,Machine Learning,20.4,52.7,30.5,35.6,38.1,0,36.7,0,33.5
STU0032,Deep Learning,66.9,58.6,57.7,81.5,73.7,0,75.4,0,60.2
STU0032,Python for AI,95.4,82.7,89.2,94.0,97.4,0,96.1,0,89.1
STU0032,Data Structures & Algorithms,85.7,95.3,99.2,92.9,95.6,0,91.7,0,94.9
STU0032,Statistics for AI,81.8,68.5,61.7,84.0,75.1,0,77.4,0,68.4
STU0033,Machine Learning,50.3,50.2,33.1,63.9,57.3,0,58.8,0,41.7
STU0033,Deep Learning,44.1,54.1,41.7,53.8,61.7,0,55.6,0,45.4
STU0033,Python for AI,82.7,48.9,48.8,60.7,65.6,0,61.4,0,57.3
STU0033,Data Structures & Algorithms,18.5,0.0,0.0,19.8,15.4,0,20.5,0,4.6
STU0033,Statistics for AI,56.6,50.1,53.9,58.4,59.8,0,55.8,0,53.6
STU0034,Machine Learning,59.1,62.0,46.7,64.8,71.8,0,68.2,0,53.6
STU0034,Deep Learning,28.5,21.5,28.0,32.3,34.1,0,31.0,0,26.5
STU0034,Python for AI,41.0,43.5,42.0,40.5,41.0,0,41.9,0,42.2
STU0034,Data Structures & Algorithms,42.0,35.3,24.5,38.3,36.1,0,37.7,0,31.6
STU0034,Statistics for AI,87.8,100.0,97.1,93.8,97.0,0,94.8,0,95.5
STU0035,Machine Learning,25.5,19.9,32.1,40.9,43.8,0,44.9,0,27.4
STU0035,Deep Learning,64.3,79.3,71.9,82.3,66.9,0,76.6,0,71.9
STU0035,Python for AI,18.0,44.2,36.8,36.0,42.2,0,38.8,0,33.9
STU0035,Data Structures & Algorithms,98.2,92.1,68.9,91.0,95.4,0,91.7,0,82.0
STU0035,Statistics for AI,40.2,21.6,22.0,40.9,28.3,0,37.1,0,26.4
STU0036,Machine Learning,8.3,27.9,19.1,19.1,13.8,0,21.7,0,18.6
STU0036,Deep Learning,12.7,16.1,34.7,39.9,26.1,0,39.2,0,24.6
STU0036,Python for AI,37.1,17.2,47.7,37.6,31.1,0,40.1,0,37.4
STU0036,Data Structures & Algorithms,37.1,37.3,71.0,50.7,38.6,0,53.6,0,54.1
STU0036,Statistics for AI,42.7,48.8,69.6,59.2,51.5,0,60.4,0,57.7
STU0037,Machine Learning,53.2,43.7,25.1,41.7,35.4,0,39.9,0,36.8
STU0037,Deep Learning,54.6,43.4,16.8,37.0,49.5,0,41.8,0,32.9
STU0037,Python for AI,100.0,94.3,78.2,90.4,87.0,0,86.8,0,87.7
STU0037,Data Structures & Algorithms,12.3,29.7,43.1,29.2,40.1,0,36.1,0,32.1
STU0037,Statistics for AI,70.7,75.3,58.2,79.5,79.9,0,80.9,0,65.6
STU0038,Machine Learning,78.3,77.3,79.1,80.4,69.1,0,80.8,0,78.5
STU0038,Deep Learning,45.7,43.9,44.0,58.7,51.0,0,57.1,0,44.4
STU0038,Python for AI,82.9,78.4,86.9,91.6,75.9,0,88.5,0,83.8
STU0038,Data Structures & Algorithms,83.8,100.0,80.2,97.2,97.8,0,98.3,0,86.1
STU0038,Statistics for AI,81.3,52.5,84.0,82.5,62.1,0,73.7,0,75.4
STU0039,Machine Learning,86.0,98.0,100.0,100.0,98.0,0,97.9,0,96.0
STU0039,Deep Learning,77.1,59.6,91.3,75.8,70.1,0,76.2,0,79.9
STU0039,Python for AI,92.1,60.4,84.5,94.3,86.8,0,89.2,0,80.4
STU0039,Data Structures & Algorithms,49.1,65.8,64.6,57.8,62.2,0,59.1,0,61.0
STU0039,Statistics for AI,15.0,16.3,15.4,19.4,26.1,0,23.5,0,15.6
STU0040,Machine Learning,33.5,48.6,57.9,36.5,31.8,0,38.5,0,49.5
STU0040,Deep Learning,49.2,33.6,43.8,54.4,42.5,0,52.0,0,42.6
STU0040,Python for AI,25.0,12.8,25.5,25.9,17.3,0,27.5,0,22.2
STU0040,Data Structures & Algorithms,20.0,18.9,24.9,27.5,18.7,0,26.0,0,22.2
STU0040,Statistics for AI,23.8,12.1,27.6,27.7,25.5,0,32.2,0,22.8
STU0041,Machine Learning,25.0,25.3,4.2,22.0,23.3,0,23.2,0,14.7
STU0041,Deep Learning,23.8,55.6,34.3,31.6,43.5,0,38.2,0,37.0
STU0041,Python for AI,29.0,49.6,51.7,38.7,49.7,0,46.1,0,45.5
STU0041,Data Structures & Algorithms,44.3,36.8,34.6,31.2,33.6,0,35.1,0,37.6
STU0041,Statistics for AI,6.1,18.6,30.6,19.1,24.2,0,25.8,0,21.5
STU0042,Machine Learning,18.1,25.2,34.4,28.6,33.7,0,31.2,0,28.0
STU0042,Deep Learning,24.0,4.9,7.1,24.5,24.4,0,24.3,0,10.8
STU0042,Python for AI,41.3,38.7,46.9,51.7,53.5,0,53.3,0,43.4
STU0042,Data Structures & Algorithms,32.2,54.2,34.6,48.2,47.3,0,47.1,0,38.9
STU0042,Statistics for AI,44.8,32.4,24.0,44.4,44.4,0,42.3,0,31.3
STU0043,Machine Learning,75.4,88.4,100.0,89.2,89.4,0,91.4,0,91.0
STU0043,Deep Learning,81.2,79.6,100.0,86.7,91.3,0,89.5,0,90.2
STU0043,Python for AI,53.9,60.3,48.4,53.3,53.6,0,53.1,0,52.7
STU0043,Data Structures & Algorithms,100.0,96.3,99.3,100.0,100.0,0,100.0,0,98.7
STU0043,Statistics for AI,43.8,44.5,30.2,61.4,55.0,0,56.4,0,37.2
STU0044,Machine Learning,36.6,11.9,29.7,48.4,38.6,0,44.3,0,27.0
STU0044,Deep Learning,34.4,25.0,0.0,27.6,27.4,0,28.1,0,14.9
STU0044,Python for AI,50.2,58.8,49.9,48.7,59.5,0,55.4,0,52.2
STU0044,Data Structures & Algorithms,32.9,39.5,35.9,40.4,33.6,0,39.3,0,36.0
STU0044,Statistics for AI,18.3,21.3,20.3,28.5,40.2,0,35.6,0,20.1
STU0045,Machine Learning,79.8,70.2,57.2,67.7,47.6,0,58.1,0,66.1
STU0045,Deep Learning,20.7,22.9,28.4,31.7,22.8,0,29.8,0,25.1
STU0045,Python for AI,63.6,74.8,74.3,74.7,73.3,0,71.5,0,71.8
STU0045,Data Structures & Algorithms,59.7,45.7,51.2,55.7,58.2,0,53.6,0,51.9
STU0045,Statistics for AI,92.2,92.0,81.5,93.4,93.4,0,91.9,0,86.8
STU0046,Machine Learning,53.4,71.1,91.8,78.6,72.1,0,76.3,0,77.0
STU0046,Deep Learning,46.5,61.2,53.9,58.5,59.4,0,59.8,0,53.9
STU0046,Python for AI,35.7,26.9,18.9,36.7,34.1,0,36.4,0,25.1
STU0046,Data Structures & Algorithms,47.8,57.6,62.8,61.8,59.8,0,59.8,0,57.7
STU0046,Statistics for AI,64.6,41.3,50.9,78.9,69.3,0,70.1,0,51.9
STU0047,Machine Learning,57.9,32.7,57.0,58.2,49.4,0,57.2,0,51.2
STU0047,Deep Learning,49.0,21.8,9.7,38.8,27.0,0,34.5,0,22.6
STU0047,Python for AI,63.8,61.3,68.4,74.2,76.9,0,72.3,0,65.5
STU0047,Data Structures & Algorithms,55.1,67.8,71.9,68.6,76.0,0,73.9,0,66.7
STU0047,Statistics for AI,72.1,47.0,35.5,59.1,47.6,0,54.1,0,47.5
STU0048,Machine Learning,96.8,67.6,70.7,93.5,87.6,0,90.4,0,76.4
STU0048,Deep Learning,55.5,76.0,67.5,83.9,76.2,0,79.0,0,66.6
STU0048,Python for AI,58.3,53.3,27.5,62.2,49.3,0,54.8,0,41.7
STU0048,Data Structures & Algorithms,73.2,72.6,55.0,88.2,86.1,0,83.1,0,64.0
STU0048,Statistics for AI,70.2,57.1,59.4,77.6,77.4,0,75.0,0,61.5
STU0049,Machine Learning,19.2,22.4,22.7,36.5,29.9,0,34.1,0,21.8
STU0049,Deep Learning,81.7,71.5,44.3,87.3,80.8,0,80.7,0,60.4
STU0049,Python for AI,76.5,80.9,85.7,98.8,95.7,0,96.0,0,82.2
STU0049,Data Structures & Algorithms,38.4,33.5,45.7,57.2,56.4,0,53.8,0,40.8
STU0049,Statistics for AI,87.3,65.3,87.6,88.1,86.3,0,86.7,0,81.9
STU0050,Machine Learning,6.5,0.0,24.9,19.9,12.2,0,22.1,0,14.1
STU0050,Deep Learning,0.0,23.5,22.3,13.9,7.5,0,14.8,0,17.0
STU0050,Python for AI,41.9,25.6,37.6,41.5,22.4,0,35.5,0,35.7
STU0050,Data Structures & Algorithms,8.0,9.0,31.4,24.1,6.6,0,22.1,0,19.9
STU0050,Statistics for AI,14.9,16.4,38.3,27.2,17.3,0,26.4,0,27.0
STU0051,Machine Learning,74.5,58.7,43.7,70.2,65.9,0,69.6,0,55.1
STU0051,Deep Learning,24.7,18.9,32.7,47.5,39.0,0,43.6,0,27.3
STU0051,Python for AI,26.1,24.5,25.9,39.7,36.0,0,36.9,0,25.6
STU0051,Data Structures & Algorithms,53.9,58.9,11.3,61.4,50.0,0,53.8,0,33.8
STU0051,Statistics for AI,74.3,89.9,95.0,93.6,91.8,0,89.3,0,88.5
STU0052,Machine Learning,69.2,53.8,47.1,71.4,71.4,0,71.5,0,54.3
STU0052,Deep Learning,46.5,41.0,34.6,40.6,37.6,0,38.6,0,39.2
STU0052,Python for AI,38.8,35.5,36.6,33.9,39.8,0,35.0,0,36.9
STU0052,Data Structures & Algorithms,44.1,16.3,14.1,39.3,34.2,0,36.7,0,22.1
STU0052,Statistics for AI,93.3,71.9,84.7,94.3,89.4,0,90.3,0,83.7
STU0053,Machine Learning,30.7,44.7,38.9,42.3,47.2,0,47.1,0,38.3
STU0053,Deep Learning,48.0,41.1,53.4,53.0,67.0,0,62.9,0,49.0
STU0053,Python for AI,39.8,50.1,60.9,44.3,50.1,0,50.4,0,53.0
STU0053,Data Structures & Algorithms,53.3,61.0,67.6,53.7,56.6,0,62.2,0,62.4
STU0053,Statistics for AI,19.5,33.3,23.5,35.7,41.6,0,39.9,0,25.0
STU0054,Machine Learning,37.5,46.7,36.5,57.9,49.3,0,52.5,0,39.3
STU0054,Deep Learning,43.1,49.5,64.1,55.0,44.2,0,51.5,0,55.2
STU0054,Python for AI,53.5,65.9,39.9,58.9,73.8,0,63.2,0,49.8
STU0054,Data Structures & Algorithms,79.9,63.6,45.2,73.2,81.3,0,74.5,0,58.5
STU0054,Statistics for AI,78.8,72.4,62.8,69.4,70.3,0,68.6,0,69.2
STU0055,Machine Learning,41.5,77.4,57.8,58.6,83.5,0,72.2,0,58.6
STU0055,Deep Learning,98.8,94.8,94.8,85.3,92.9,0,91.8,0,95.8
STU0055,Python for AI,39.6,44.2,55.2,38.9,43.4,0,44.4,0,48.5
STU0055,Data Structures & Algorithms,84.2,71.8,70.5,73.1,77.8,0,77.9,0,74.3
STU0055,Statistics for AI,31.8,66.5,54.2,55.9,63.2,0,57.9,0,51.7
STU0056,Machine Learning,31.2,29.8,43.6,34.7,20.2,0,32.6,0,37.0
STU0056,Deep Learning,27.7,31.9,44.4,50.5,36.2,0,44.6,0,37.1
STU0056,Python for AI,49.2,25.5,54.3,65.8,45.0,0,60.2,0,45.8
STU0056,Data Structures & Algorithms,35.5,38.7,60.3,46.1,35.4,0,43.7,0,48.7
STU0056,Statistics for AI,37.3,25.5,54.7,48.0,33.8,0,45.4,0,43.1
STU0057,Machine Learning,30.2,50.9,77.6,60.7,54.9,0,62.9,0,59.1
STU0057,Deep Learning,28.8,26.9,40.3,38.1,31.1,0,36.1,0,34.1
STU0057,Python for AI,61.5,50.2,44.8,57.1,51.5,0,54.0,0,50.3
STU0057,Data Structures & Algorithms,81.2,58.2,60.8,69.1,76.4,0,74.2,0,65.2
STU0057,Statistics for AI,58.7,67.2,60.4,70.7,57.1,0,63.9,0,61.6
STU0058,Machine Learning,58.0,55.5,62.8,67.0,72.9,0,70.2,0,59.8
STU0058,Deep Learning,67.1,64.5,66.7,76.9,70.3,0,74.4,0,66.2
STU0058,Python for AI,24.4,33.5,3.2,29.6,42.6,0,35.4,0,16.0
STU0058,Data Structures & Algorithms,54.9,52.9,46.7,54.6,55.2,0,55.7,0,50.3
STU0058,Statistics for AI,72.2,69.6,63.3,75.6,78.4,0,77.2,0,67.1
STU0059,Machine Learning,21.8,35.7,21.0,30.3,33.0,0,31.3,0,24.9
STU0059,Deep Learning,60.1,40.2,57.3,73.7,58.3,0,65.1,0,53.7
STU0059,Python for AI,43.4,51.9,24.3,53.8,48.3,0,49.1,0,36.0
STU0059,Data Structures & Algorithms,29.0,36.4,32.5,43.2,50.5,0,45.6,0,32.6
STU0059,Statistics for AI,69.7,50.7,63.1,68.0,70.3,0,69.3,0,61.6
STU0060,Machine Learning,63.5,81.1,69.7,76.8,78.1,0,76.1,0,71.0
STU0060,Deep Learning,82.7,47.4,60.2,69.8,69.5,0,71.1,0,62.6
STU0060,Python for AI,50.4,55.2,60.0,69.5,66.5,0,70.9,0,56.4
STU0060,Data Structures & Algorithms,65.2,70.3,67.3,72.5,73.8,0,73.4,0,67.5
STU0060,Statistics for AI,54.9,80.4,93.6,73.4,79.7,0,81.4,0,80.6
STU0061,Machine Learning,0.0,0.0,42.3,22.2,23.8,0,24.8,0,21.1
STU0061,Deep Learning,37.0,42.3,83.4,63.2,68.6,0,67.8,0,61.5
STU0061,Python for AI,41.4,25.4,68.3,53.8,59.5,0,52.3,0,50.9
STU0061,Data Structures & Algorithms,62.3,34.1,91.6,68.6,67.0,0,67.4,0,69.9
STU0061,Statistics for AI,15.0,30.7,71.2,54.8,51.1,0,50.0,0,47.0
STU0062,Machine Learning,46.0,45.2,68.0,67.7,53.2,0,65.3,0,56.8
STU0062,Deep Learning,94.0,100.0,84.3,100.0,97.4,0,99.1,0,90.7
STU0062,Python for AI,85.4,98.8,85.3,98.4,97.3,0,98.5,0,88.7
